Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	765.59845	25.813948	797.4945	731.5741	1000.0	69.72582	14.6642	94.95108	29.943983	385000	2.632141e-08	351.11755	-0.021181038	-180.86528	5.76235	0.016156562	0.1922	11.0	936.3576059341431
77	671.8312	80.76838	782.4266	584.4115	1000.0	57.56212	15.023345	99.288155	16.976044	390000	2.2888185e-09	283.25864	-0.03601117	-157.1535	5.77967	0.016441885	0.2218	23.0	948.7993371486664
78	716.27136	79.04078	806.0077	617.04034	1000.0	58.228462	16.9879	96.842575	11.076022	395000	2.4986267e-08	315.31573	-0.04748009	-165.8828	5.768059	0.01520166	0.2214	32.0	960.3899250030518
79	710.0323	87.39831	820.2136	583.8126	1000.0	69.959114	13.784248	97.44218	32.740715	400000	1.3923645e-08	274.27426	-0.054591946	-122.23305	5.698631	0.010404078	0.2726	79.0	973.2627878189087
80	790.9323	20.88737	816.56793	767.2884	1000.0	69.58993	12.212727	93.21908	17.332851	405000	1.5640259e-08	218.73055	-0.05279467	-121.601295	5.634341	0.014527826	0.2724	79.0	985.8244965076447
81	698.5666	128.9561	834.32764	507.44595	1000.0	60.392067	22.152355	100.11373	-1.6466212	410000	4.005432e-09	361.2905	-0.02410871	-198.22029	5.557084	0.015113504	0.1908	12.0	998.2187311649323
82	716.76135	123.11496	825.7236	503.68454	1000.0	63.236336	12.802844	91.03374	22.322454	415000	-1.3542175e-08	246.02742	-0.028899545	-141.22484	5.6035843	0.015832078	0.1866	13.0	1010.5937869548798
83	743.16504	93.206856	829.7886	607.9205	1000.0	60.075462	15.82162	89.58148	15.183487	420000	-8.010864e-09	317.58456	-0.012885668	-154.53952	5.5976634	0.011374704	0.1416	5.0	1018.0192725658417
84	709.44836	114.56842	811.4732	498.71967	1000.0	67.58488	15.741544	101.52518	26.00519	425000	2.0980835e-09	272.2349	-0.019175675	-133.27661	5.5696335	0.017028827	0.1966	11.0	1030.1463811397552
85	766.7637	44.567924	812.53876	694.1343	1000.0	68.786766	12.338153	97.54337	36.33164	430000	-6.2942505e-09	211.60416	-0.00788744	-51.338287	5.5457635	0.017922854	0.241	3.0	1042.3159172534943
86	722.59314	81.91172	817.99365	605.4207	1000.0	65.80325	15.881267	97.69572	16.043095	435000	1.8882751e-08	190.69206	-0.036846876	-49.749695	5.5962234	0.015001646	0.2428	37.0	1054.1339929103851
87	734.24756	94.700806	818.27686	591.2335	1000.0	69.33899	10.767486	104.87889	32.878372	440000	-1.1444092e-08	317.01266	-0.023781538	-128.22032	5.517505	0.01511341	0.2076	14.0	1066.4280858039856
88	807.8112	12.802118	829.59766	791.7421	1000.0	71.37776	4.907695	92.57996	58.547043	445000	-6.6757204e-09	333.19946	-0.028027227	-128.21443	5.567077	0.015222839	0.2308	34.0	1078.8011057376862
89	700.32086	140.97375	820.66815	446.37714	1000.0	66.83074	13.505755	99.621864	24.575148	450000	-8.201599e-09	405.1151	-0.021420078	-228.54297	5.57725	0.01699324	0.2012	12.0	1090.9533410072327
90	682.7352	188.73184	825.6956	315.73798	1000.0	63.102543	24.9733	94.41196	0.14354676	455000	6.1035155e-09	227.40808	-0.045957137	-81.777054	5.609461	0.0147466585	0.2608	55.0	1103.1829340457916
91	794.6682	44.615887	836.05695	714.442	1000.0	69.45614	10.504627	96.52204	28.389198	460000	1.5449524e-08	250.55348	-0.04354301	-71.26169	5.515894	0.011263824	0.2446	79.0	1115.590064048767
92	680.6719	144.7921	830.52014	450.54025	1000.0	53.20252	22.490622	99.3104	14.687184	465000	3.9291383e-08	218.04108	-0.022304352	-111.01993	5.462345	0.017345242	0.1872	10.0	1127.291651725769
93	762.37256	96.15058	867.2183	581.0295	1000.0	76.42031	10.226988	98.89388	29.46203	470000	3.2615663e-08	350.66046	-0.010257223	-216.10408	5.555047	0.015985558	0.2022	5.0	1139.2495746612549
94	789.8606	75.07236	865.5684	666.1506	1000.0	66.912926	21.230433	108.422104	-11.645741	475000	4.9591065e-09	463.86185	-0.013857002	-267.75662	5.5544443	0.016205192	0.2086	5.0	1151.6132769584656
95	793.5824	50.783546	848.1598	723.77374	1000.0	77.77465	8.543944	95.38641	35.80201	480000	-3.681183e-08	332.99146	-0.013862766	-158.75717	5.486425	0.019874902	0.195	7.0	1163.3741784095764
96	739.2994	107.64776	837.2571	549.0251	1000.0	57.95785	18.024963	90.45289	13.438409	485000	3.709793e-08	385.63046	-0.017858943	-204.95859	5.456546	0.016482491	0.219	8.0	1175.6944286823273
97	812.067	21.829912	850.9019	790.4992	1000.0	76.639786	6.333418	97.98018	54.51689	490000	1.3160705e-08	244.81966	-0.04156964	-72.74426	5.494744	0.012070831	0.2454	79.0	1188.9704821109772
98	725.7731	98.508995	807.01184	542.4583	1000.0	62.04949	20.57667	101.712	8.767275	495000	1.1825562e-08	317.90906	-0.027197558	-229.1832	5.489779	0.01598014	0.1836	22.0	1200.8644621372223
99	781.8253	79.31359	846.704	640.4063	1000.0	75.26408	15.670152	119.14548	19.894297	500000	2.0980835e-09	379.19855	-0.022850033	-163.10492	5.4548197	0.018084854	0.1906	10.0	1213.2969059944153
100	807.99817	39.11567	855.1079	756.25653	1000.0	70.83943	7.27281	98.51301	51.405212	505000	6.9618227e-09	292.177	-0.02330553	-93.37799	5.4684467	0.016878705	0.2134	12.0	1226.0362434387207
